# Wavelength[nm],R%
889.5,1.09314
890.0,1.03824
890.5,1.02971
891.0,1.00899
891.5,0.99513
892.0,1.02585
892.5,1.03045
893.0,0.97039
893.5,0.94672
894.0,0.93376
894.5,0.90601
895.0,0.89076
895.5,0.89442
896.0,0.83216
896.5,0.79537
897.0,0.8137
897.5,0.80134
898.0,0.76579
898.5,0.74684
899.0,0.71457
899.5,0.71596
900.0,0.66698
900.5,0.69937
901.0,0.61659
901.5,0.64458
902.0,0.60695
902.5,0.5893
903.0,0.55816
903.5,0.5988
904.0,0.58108
904.5,0.59873
905.0,0.53784
905.5,0.56284
906.0,0.54189
906.5,0.56406
907.0,0.55682
907.5,0.57571
908.0,0.57758
908.5,0.60226
909.0,0.61934
909.5,0.64747
910.0,0.69373
910.5,0.71196
911.0,0.71795
911.5,0.76038
912.0,0.78085
912.5,0.78175
913.0,0.84029
913.5,0.8332
914.0,0.89726
914.5,0.9346
915.0,1.00352
915.5,1.00322
916.0,1.04134
916.5,1.0694
917.0,1.1223
917.5,1.17901
918.0,1.1575
918.5,1.22482
919.0,1.28898
919.5,1.28298
920.0,1.37852
920.5,1.38179
921.0,1.41365
921.5,1.42599
922.0,1.43582
922.5,1.47512
923.0,1.47065
923.5,1.50889
924.0,1.50039
924.5,1.52432
925.0,1.47987
925.5,1.53366
926.0,1.48776
926.5,1.50959
927.0,1.51145
927.5,1.49249
928.0,1.46196
928.5,1.49816
929.0,1.4853
929.5,1.43024
930.0,1.39813
930.5,1.37943
931.0,1.35913
931.5,1.34174
932.0,1.30172
932.5,1.24396
933.0,1.18807
933.5,1.16395
934.0,1.15366
934.5,1.08106
935.0,1.08807
935.5,1.03349
936.0,0.98052
936.5,0.95765
937.0,0.92484
937.5,0.87987
938.0,0.85271
938.5,0.84564
939.0,0.81253
939.5,0.79611
940.0,0.77836
940.5,0.79968
941.0,0.75047
941.5,0.75445
942.0,0.81775
942.5,0.83206
943.0,0.85101
943.5,0.84691
944.0,0.87473
944.5,0.94507
945.0,0.97839
945.5,1.08021
946.0,1.11645
946.5,1.21712
947.0,1.27954
947.5,1.3905
948.0,1.51049
948.5,1.60781
949.0,1.75801
949.5,1.87677
950.0,2.0137
