#Wavelength (nm)	%Transmission
# Transmission for uncoated UV fused silica
# From: ThorLabs Excel spreadsheet linked from https://www.thorlabs.com/NewGroupPage9.cfm?ObjectGroup_ID=3983
1133	0.9350799
1134	0.9350826
1135	0.9350852
1136	0.9350879
1137	0.9350905
1138	0.9350931
1139	0.9350958
1140	0.9350984
1141	0.935101
1142	0.9351037
1143	0.9351063
1144	0.9351089
1145	0.9351116
1146	0.9351142
1147	0.9351168
1148	0.9351194
1149	0.9351221
1150	0.9351247
1151	0.9351273
1152	0.9351299
1153	0.9351326
1154	0.9351352
1155	0.9351378
1156	0.9351404
1157	0.935143
1158	0.9351457
1159	0.9351483
1160	0.9351509
1161	0.9351535
1162	0.9351561
1163	0.9351587
1164	0.9351614
1165	0.935164
1166	0.9351666
1167	0.9351692
1168	0.9351718
1169	0.9351744
1170	0.935177
1171	0.9351796
1172	0.9351822
1173	0.9351848
1174	0.9351874
1175	0.9351901
1176	0.9351927
1177	0.9351953
1178	0.9351979
1179	0.9352005
1180	0.9352031
1181	0.9352057
1182	0.9352083
1183	0.9352109
1184	0.9352135
1185	0.9352161
1186	0.9352187
1187	0.9352213
1188	0.9352239
1189	0.9352265
1190	0.9352291
1191	0.9352317
1192	0.9352343
1193	0.9352369
1194	0.9352394
1195	0.935242
1196	0.9352446
1197	0.9352472
1198	0.9352498
1199	0.9352524
1200	0.935255
1201	0.9352576
1202	0.9352602
1203	0.9352628
1204	0.9352654
1205	0.935268
1206	0.9352705
1207	0.9352731
1208	0.9352757
1209	0.9352783
1210	0.9352809
1211	0.9352835
1212	0.9352861
1213	0.9352886
1214	0.9352912
1215	0.9352938
1216	0.9352964
1217	0.935299
1218	0.9353016
1219	0.9353042
1220	0.9353067
1221	0.9353093
1222	0.9353119
1223	0.9353145
1224	0.9353171
1225	0.9353197
1226	0.9353222
1227	0.9353248
1228	0.9353274
1229	0.93533
1230	0.9353326
1231	0.9353351
1232	0.9353377
1233	0.9353403
1234	0.9353429
1235	0.9353455
1236	0.935348
1237	0.9353506
1238	0.9353532
1239	0.9353558
1240	0.9353583
1241	0.9353609
1242	0.9353635
1243	0.9353661
1244	0.9353687
1245	0.9353712
1246	0.9353738
1247	0.9353764
1248	0.935379
1249	0.9353815
1250	0.9353841
1251	0.9353867
1252	0.9353893
1253	0.9353918
1254	0.9353944
1255	0.935397
1256	0.9353996
1257	0.9354021
1258	0.9354047
1259	0.9354073
1260	0.9354099
1261	0.9354124
1262	0.935415
1263	0.9354176
1264	0.9354202
1265	0.9354227
1266	0.9354253
1267	0.9354279
1268	0.9354305
1269	0.935433
1270	0.9354356
1271	0.9354382
1272	0.9354408
1273	0.9354433
1274	0.9354459
1275	0.9354485
1276	0.9354511
1277	0.9354536
1278	0.9354562
1279	0.9354588
1280	0.9354613
1281	0.9354639
1282	0.9354665
1283	0.9354691
1284	0.9354716
1285	0.9354742
1286	0.9354768
1287	0.9354794
1288	0.9354819
1289	0.9354845
1290	0.9354871
1291	0.9354897
1292	0.9354922
1293	0.9354948
1294	0.9354974
1295	0.9355
1296	0.9355025
1297	0.9355051
1298	0.9355077
1299	0.9355103
1300	0.9355128
1301	0.9355154
1302	0.935518
1303	0.9355206
1304	0.9355231
1305	0.9355257
1306	0.9355283
1307	0.9355309
1308	0.9355334
1309	0.935536
1310	0.9355386
1311	0.9355412
1312	0.9355437
1313	0.9355463
1314	0.9355489
1315	0.9355515
1316	0.9355541
1317	0.9355566
1318	0.9355592
1319	0.9355618
1320	0.9355644
1321	0.9355669
1322	0.9355695
1323	0.9355721
1324	0.9355747
1325	0.9355773
1326	0.9355798
1327	0.9355824
1328	0.935585
1329	0.9355876
1330	0.9355902
1331	0.9355927
1332	0.9355953
1333	0.9355979
1334	0.9356005
1335	0.9356031
1336	0.9356057
1337	0.9356082
1338	0.9356108
1339	0.9356134
1340	0.935616
1341	0.9356186
1342	0.9356212
1343	0.9356237
1344	0.9356263
1345	0.9356289
1346	0.9356315
1347	0.9356341
1348	0.9356367
1349	0.9356393
1350	0.9353812
1351	0.935376
1352	0.9353332
1353	0.9353824
1354	0.9349568
1355	0.934962
1356	0.9345602
1357	0.9338727
1358	0.9334463
1359	0.9329515
1360	0.9332734
1361	0.9324253
1362	0.9315832
1363	0.9309115
1364	0.9299358
1365	0.9285685
1366	0.9272572
1367	0.9253579
1368	0.9230576
1369	0.9193777
1370	0.9152343
1371	0.9095563
1372	0.902426
1373	0.894135
1374	0.8846251
1375	0.8753495
1376	0.8649024
1377	0.8555213
1378	0.8469206
1379	0.8389786
1380	0.8340325
1381	0.8316447
1382	0.8288008
1383	0.8276284
1384	0.82794
1385	0.8295406
1386	0.8323933
1387	0.8361806
1388	0.8400672
1389	0.8438962
1390	0.8481883
1391	0.8526082
1392	0.857811
1393	0.8622419
1394	0.8671152
1395	0.8725587
1396	0.8753799
1397	0.8799557
1398	0.8833625
1399	0.8872366
1400	0.8921717
1401	0.8939976
1402	0.8973641
1403	0.899681
1404	0.9028258
1405	0.9054855
1406	0.907526
1407	0.9096116
1408	0.9118127
1409	0.9136431
1410	0.9151207
1411	0.9169322
1412	0.9184291
1413	0.9198936
1414	0.9212903
1415	0.9224143
1416	0.9232783
1417	0.9244244
1418	0.9256238
1419	0.9263822
1420	0.9270507
1421	0.9280769
1422	0.9289315
1423	0.9297705
1424	0.9305246
1425	0.9311132
1426	0.931897
1427	0.9323451
1428	0.9328755
1429	0.9334075
1430	0.9338571
1431	0.9345111
1432	0.935163
1433	0.9356917
1434	0.9358607
1435	0.9358633
1436	0.935866
1437	0.9358686
1438	0.9358712
1439	0.9358739
1440	0.9358765
1441	0.9358791
1442	0.9358818
1443	0.9358844
1444	0.935887
1445	0.9358897
1446	0.9358923
1447	0.9358949
1448	0.9358976
1449	0.9359002
1450	0.9359029
1451	0.9359055
1452	0.9359081
1453	0.9359108
1454	0.9359134
1455	0.9359161
1456	0.9359187
1457	0.9359213
1458	0.935924
1459	0.9359266
1460	0.9359293
1461	0.9359319
1462	0.9359346
1463	0.9359372
1464	0.9359399
1465	0.9359425
1466	0.9359452
1467	0.9359478
1468	0.9359505
1469	0.9359531
1470	0.9359558
1471	0.9359584
1472	0.9359611
1473	0.9359637
1474	0.9359664
1475	0.9359691
1476	0.9359717
1477	0.9359744
1478	0.935977
1479	0.9359797
1480	0.9359823
1481	0.935985
1482	0.9359877
1483	0.9359903
1484	0.935993
1485	0.9359957
1486	0.9359983
1487	0.936001
1488	0.9360037
1489	0.9360063
1490	0.936009
1491	0.9360117
1492	0.9360143
1493	0.936017
1494	0.9360197
1495	0.9360223
1496	0.936025
1497	0.9360277
1498	0.9360304
1499	0.936033
1500	0.9360357
1501	0.9360384
1502	0.9360411
1503	0.9360438
1504	0.9360464
1505	0.9360491
1506	0.9360518
1507	0.9360545
1508	0.9360572
1509	0.9360598
1510	0.9360625
1511	0.9360652
1512	0.9360679
1513	0.9360706
1514	0.9360733
1515	0.936076
1516	0.9360787
1517	0.9360814
1518	0.936084
1519	0.9360867
1520	0.9360894
1521	0.9360921
1522	0.9360948
1523	0.9360975
1524	0.9361002
1525	0.9361029
1526	0.9361056
1527	0.9361083
1528	0.936111
1529	0.9361137
1530	0.9361164
1531	0.9361191
1532	0.9361218
1533	0.9361245
1534	0.9361272
1535	0.9361299
1536	0.9361326
1537	0.9361354
1538	0.9361381
1539	0.9361408
1540	0.9361435
1541	0.9361462
1542	0.9361489
1543	0.9361516
1544	0.9361543
1545	0.9361571
1546	0.9361598
1547	0.9361625
1548	0.9361652
1549	0.9361679
1550	0.9361706
1551	0.9361734
1552	0.9361761
1553	0.9361788
1554	0.9361815
1555	0.9361843
1556	0.936187
1557	0.9361897
1558	0.9361924
1559	0.9361952
1560	0.9361979
1561	0.9362006
1562	0.9362034
1563	0.9362061
1564	0.9362088
1565	0.9362116
1566	0.9362143
1567	0.936217
1568	0.9362198
1569	0.9362225
1570	0.9362253
1571	0.936228
1572	0.9362307
1573	0.9362335
1574	0.9362362
1575	0.936239
1576	0.9362417
1577	0.9362445
1578	0.9362472
1579	0.93625
1580	0.9362527
1581	0.9362555
1582	0.9362582
