# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
959.42 802.5289
960.17 801.6293
960.93 800.7298
961.68 799.8302
962.43 798.8043
963.19 797.7364
963.94 796.6685
964.70 795.6005
965.45 794.5325
966.20 793.4645
966.96 792.4288
967.71 791.4523
968.47 790.4757
969.22 789.4991
969.97 788.5224
970.73 787.5457
971.48 786.569
972.24 785.4386
972.99 784.2957
973.74 783.1526
974.50 782.0096
975.25 780.8665
976.01 779.7234
976.76 778.6419
977.51 777.6321
978.27 776.6222
979.02 775.6123
979.78 774.6024
980.53 773.5925
981.28 772.5825
982.04 771.4543
982.79 770.3224
983.55 769.1904
984.30 768.0584
985.05 766.9264
985.81 765.7944
986.56 764.7021
987.32 763.6598
988.07 762.6175
988.82 761.5751
989.58 760.5328
990.33 759.4904
991.09 758.4479
991.84 757.4844
992.59 756.5311
993.35 755.5777
994.10 754.6244
994.86 753.671
995.61 752.7176
996.36 751.5333
997.12 749.7923
997.87 748.0513
998.63 746.3103
999.38 744.5692
1000.13 742.826
1000.89 741.0737
1001.64 739.382
1002.40 737.7207
1003.15 736.0595
1003.90 734.3982
1004.66 732.737
1005.41 731.0757
1006.17 729.4228
1006.92 728.8023
1007.67 728.1818
1008.43 727.5613
1009.18 726.9408
1009.94 726.3203
1010.69 725.6998
1011.44 724.8942
1012.20 723.7016
1012.95 722.5091
1013.71 721.3166
1014.46 720.1241
1015.21 718.9315
1015.97 717.739
1016.72 716.6732
1017.48 715.6921
1018.23 714.711
1018.98 713.7299
1019.74 712.7488
1020.49 711.7676
1021.25 710.7865
1022.00 710.0128
1022.75 709.2798
1023.51 708.5468
1024.26 707.8139
1025.02 707.0809
1025.77 706.3479
1026.52 705.5896
1027.28 704.2942
1028.03 702.9987
1028.79 701.7033
1029.54 700.4078
1030.29 699.1124
1031.05 697.8169
1031.80 696.5225
1032.56 695.2321
1033.31 693.9416
1034.06 692.6512
1034.82 691.3608
1035.57 690.0703
1036.33 688.7799
1037.08 687.5782
1037.83 686.5358
1038.59 685.4934
1039.34 684.4509
1040.10 683.4085
1040.85 682.3661
1041.60 681.3236
1042.36 680.3208
1043.11 679.364
1043.87 678.4073
1044.62 677.4506
1045.37 676.4938
1046.13 675.5371
1046.88 674.5804
1047.64 673.6464
