# 10 Jun 2021; convolved with Kurucz, unnormalized
# Wavelength(nm)  Flambda(ergs/cm^s/s/nm)
1229.35 577.0652
1230.10 576.3744
1230.86 575.6833
1231.61 574.9919
1232.37 574.3003
1233.12 573.6085
1233.87 572.9163
1234.63 572.224
1235.38 571.5216
1236.14 570.7901
1236.89 570.0584
1237.64 569.3264
1238.40 568.5941
1239.15 567.8616
1239.91 567.1288
1240.66 566.3958
1241.41 565.6663
1242.17 565.0187
1242.92 564.3709
1243.68 563.7228
1244.43 563.0745
1245.18 562.426
1245.94 561.7772
1246.69 561.1282
1247.45 560.4789
1248.20 559.8007
1248.95 559.1149
1249.71 558.4289
1250.46 557.7426
1251.22 557.056
1251.97 556.3692
1252.72 555.6822
1253.48 554.9949
1254.23 554.2892
1254.99 553.5644
1255.74 552.8394
1256.49 552.1142
1257.25 551.3887
1258.00 550.6629
1258.76 549.9369
1259.51 549.2106
1260.26 548.4969
1261.02 547.855
1261.77 547.2128
1262.53 546.5705
1263.28 545.9279
1264.03 545.285
1264.79 544.6419
1265.54 543.9986
1266.30 543.3551
1267.05 542.5898
1267.80 541.7877
1268.56 540.9853
1269.31 540.1827
1270.07 539.3798
1270.82 538.5766
1271.57 537.7731
1272.33 536.9693
1273.08 535.9431
