# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, unpolarized light
# (Similar grating is used in Keck+NIRES and Gemini+GNIRS)
# Synthesized from S-pol and P-pol lines on Newport grating specsheet at
# https://www.gratinglab.com/Products/Product_Tables/Efficiency/Efficiency.aspx?catalog=53-*-138R
Wavelength [um],Relative Efficiency [%]
1.561,54.31080917478373493
1.562,54.66907985549540427
1.563,55.02735053620708783
1.564,55.38562121691882112
1.565,55.74389189763049046
1.566,56.10216257834223086
1.567,56.46043325905390020
1.568,56.81870393976556954
1.569,57.17697462047730284
1.570,57.53524530118898639
1.571,57.89351598190071968
1.572,58.25178666261238902
1.573,58.61005734332406547
1.574,58.96832802403579876
1.575,59.32659870474748232
1.576,59.68486938545920850
1.577,60.04314006617088495
1.578,60.40141074688255429
1.579,60.75968142759429469
1.580,61.11795210830596403
1.581,61.47622278901769732
1.582,61.83449346972936667
1.583,62.19276415044105022
1.584,62.55103483115278351
1.585,62.90930551186445285
1.586,63.26757619257612220
1.587,63.62584687328784838
1.588,63.98411755399953194
1.589,64.34238823471127944
1.590,64.70065891542293457
1.591,65.05892959613461812
1.592,65.41720027684634431
1.593,65.77547095755802786
1.594,66.13374163826975405
1.595,66.49201231898143760
1.596,66.85028299969310694
1.597,67.20855368040483313
1.598,67.47670468221333806
1.599,67.74665052543873855
1.600,68.03841467315768909
1.601,68.33017882087663963
1.602,68.62194296859563281
1.603,68.91370711631458335
1.604,69.20547126403357652
1.605,69.49723541175252706
1.606,69.78899955947147760
1.607,70.08076370719047077
1.608,70.37252785490942131
1.609,70.66429200262842869
1.610,70.95605615034736502
1.611,71.24782029806631556
1.612,71.53958444578532294
1.613,71.83134859350425927
1.614,72.12311274122326665
1.615,72.41487688894220298
1.616,72.70664103666113931
1.617,72.99840518438014669
1.618,73.29016933209909723
1.619,73.58193347981803356
1.620,73.87369762753704094
1.621,74.16546177525599148
1.622,74.45722592297498466
1.623,74.74899007069393519
1.624,75.04075421841287152
1.625,75.33251836613187891
1.626,75.62428251385082945
1.627,75.91604666156983683
1.628,76.20781080928877316
1.629,76.49957495700772370
1.630,76.79133910472671687
1.631,77.08310325244566741
1.632,77.37486740016467479
1.633,77.66663154788361112
1.634,77.95839569560256166
1.635,78.25015984332155483
1.636,78.54192399104049116
1.637,78.83368813875949854
1.638,79.12545228647844908
1.639,79.41721643419745646
