# ThorLabs 400nm longpass cutoff filter
#Wavelength [nm], Transmission[%]
1484,96.438674
1485,96.438287
1486,96.46739
1487,96.474951
1488,96.479799
1489,96.504502
1490,96.531016
1491,96.512088
1492,96.548594
1493,96.553594
1494,96.586056
1495,96.617267
1496,96.651038
1497,96.648537
1498,96.68855
1499,96.754754
1500,96.745199
1501,96.81015
1502,96.831749
1503,96.854995
1504,96.878804
1505,96.903131
1506,96.940636
1507,96.955214
1508,97.023811
1509,97.069699
1510,97.106814
1511,97.145288
1512,97.158737
1513,97.160169
1514,97.21777
1515,97.218542
1516,97.246512
1517,97.273603
1518,97.332967
1519,97.306645
1520,97.312078
1521,97.3527
1522,97.359685
1523,97.374344
1524,97.402984
1525,97.426506
1526,97.406467
1527,97.431825
1528,97.410573
1529,97.395833
1530,97.410103
1531,97.401247
1532,97.369876
1533,97.360416
1534,97.360999
1535,97.377071
1536,97.372132
1537,97.363798
1538,97.31584
1539,97.292907
1540,97.282498
1541,97.277147
1542,97.261478
1543,97.24089
1544,97.224608
1545,97.211343
1546,97.210039
1547,97.197656
1548,97.173696
1549,97.154483
1550,97.151958
1551,97.142202
1552,97.114158
1553,97.095512
1554,97.10782
1555,97.110839
1556,97.126769
1557,97.13189
1558,97.119162
1559,97.119119
1560,97.111699
1561,97.105339
1562,97.097649
1563,97.137278
1564,97.16378
1565,97.174086
1566,97.195797
1567,97.215654
1568,97.209049
1569,97.222767
1570,97.245994
1571,97.269842
1572,97.273897
1573,97.301962
1574,97.322927
1575,97.349534
1576,97.37554
1577,97.415508
1578,97.422437
1579,97.409575
1580,97.429033
1581,97.462406
1582,97.494322
1583,97.546438
1584,97.56749
1585,97.588969
1586,97.636268
1587,97.666893
1588,97.654686
1589,97.680032
1590,97.717848
1591,97.734503
1592,97.755548
1593,97.782073
1594,97.804244
1595,97.817892
1596,97.835474
1597,97.851807
1598,97.874045
1599,97.875158
1600,97.887263
1601,97.914551
1602,97.920258
1603,97.924385
1604,97.925778
1605,97.915476
1606,97.911785
1607,97.922325
1608,97.923773
1609,97.927475
1610,97.927511
1611,97.917613
1612,97.913252
1613,97.908668
1614,97.906306
1615,97.90144
1616,97.876154
1617,97.862811
1618,97.856727
1619,97.819391
1620,97.811904
1621,97.821581
1622,97.812182
1623,97.802247
1624,97.800833
1625,97.796488
1626,97.781291
1627,97.761516
1628,97.746116
1629,97.737781
1630,97.727478
1631,97.7055
1632,97.703997
1633,97.718013
1634,97.69117
1635,97.654592
1636,97.638438
1637,97.654377
1638,97.671166
1639,97.657707
1640,97.647253
1641,97.63932
1642,97.644151
1643,97.659741
1644,97.652968
1645,97.649889
1646,97.656422
1647,97.644591
1648,97.646585
1649,97.67893
1650,97.680287
1651,97.691799
1652,97.729231
1653,97.75055
1654,97.766697
1655,97.780157
1656,97.800885
1657,97.820314
1658,97.823289
1659,97.850602
1660,97.848219
1661,97.835432
1662,97.872602
1663,97.899286
1664,97.925498
1665,97.93934
1666,97.963177
1667,97.998478
1668,98.004066
1669,98.01733
1670,98.05353
1671,98.090369
1672,98.1221
1673,98.138326
1674,98.148623
1675,98.170841
1676,98.192472
1677,98.187818
1678,98.17731
1679,98.183047
1680,98.212169
1681,98.245002
1682,98.239896
1683,98.253139
1684,98.264547
1685,98.266984
1686,98.259041
1687,98.261365
1688,98.240649
1689,98.25526
1690,98.254391
1691,98.243521
1692,98.242371
1693,98.22904
1694,98.241803
1695,98.240255
1696,98.202417
1697,98.201057
1698,98.170925
1699,98.151194
1700,98.156511
1701,98.144514
1702,98.12358
1703,98.103234
1704,98.07125
1705,98.043222
1706,98.023271
1707,97.986642
1708,97.959228
1709,97.949494
1710,97.924829
1711,97.888448
1712,97.87433
1713,97.834145
1714,97.804765
1715,97.784983
1716,97.767347
1717,97.753734
1718,97.730888
1719,97.728076
1720,97.708624
1721,97.682544
1722,97.643357
1723,97.618796
1724,97.597405
1725,97.585334
1726,97.560529
1727,97.52833
1728,97.521663
1729,97.516486
1730,97.483074
1731,97.453474
1732,97.461935
1733,97.457166
1734,97.462647
1735,97.451037
1736,97.455669
1737,97.431764
1738,97.426418
1739,97.416143
1740,97.39128
1741,97.386501
1742,97.375409
1743,97.390373
1744,97.397166
1745,97.396037
1746,97.399024
1747,97.399536
