ILDIALCT,ilab_v1,FITS/CSV file dialect
299.600,5.445950e-06,1.998380e-06
299.800,1.647830e-06,1.813200e-06
300.000,1.000000e-10,1.577710e-06
300.200,5.743700e-07,1.355720e-06
300.400,1.000000e-10,1.218850e-06
300.600,1.000000e-10,1.225630e-06
300.800,6.547700e-07,1.406950e-06
301.000,1.077870e-06,1.755360e-06
301.200,3.043450e-06,2.227570e-06
301.400,5.204890e-06,2.755110e-06
301.600,3.714950e-06,3.260050e-06
301.800,1.799040e-06,3.668620e-06
302.000,4.974540e-06,3.921940e-06
302.200,3.451370e-06,3.981450e-06
302.400,5.535050e-06,3.833240e-06
302.600,1.000000e-10,3.490590e-06
302.800,1.000000e-10,2.994520e-06
303.000,1.329860e-06,2.413920e-06
303.200,1.000000e-10,1.835560e-06
303.400,1.000000e-10,1.353710e-06
303.600,1.000000e-10,1.049340e-06
303.800,1.000000e-10,9.715300e-07
304.000,2.496200e-07,1.123950e-06
304.200,1.000000e-10,1.459050e-06
304.400,1.561600e-06,1.886520e-06
304.600,1.000000e-10,2.299640e-06
304.800,6.023890e-06,2.604820e-06
305.000,1.000000e-10,2.740330e-06
305.200,1.086280e-06,2.697360e-06
305.400,1.000000e-10,2.526570e-06
305.600,2.582220e-06,2.318410e-06
305.800,1.000000e-10,2.179800e-06
306.000,1.370270e-06,2.201040e-06
306.200,2.508050e-06,2.427010e-06
306.400,1.000000e-10,2.843270e-06
306.600,9.130600e-07,3.380490e-06
306.800,1.000000e-10,3.934180e-06
307.000,1.021564e-05,4.399170e-06
307.200,1.000000e-10,4.705420e-06
307.400,1.102390e-06,4.838370e-06
307.600,7.108680e-06,4.839030e-06
307.800,5.004660e-06,4.780910e-06
308.000,6.732200e-07,4.736580e-06
308.200,1.000000e-10,4.748780e-06
308.400,5.660290e-06,4.811600e-06
308.600,1.000000e-10,4.878310e-06
308.800,8.247000e-06,4.884380e-06
309.000,1.000000e-10,4.773430e-06
309.200,9.707200e-07,4.518610e-06
309.400,1.000000e-10,4.125180e-06
309.600,5.177020e-06,3.636300e-06
309.800,1.000000e-10,3.113140e-06
310.000,2.956490e-06,2.623420e-06
310.200,6.929900e-07,2.233310e-06
310.400,4.472900e-07,1.998520e-06
310.600,1.693530e-06,1.952370e-06
310.800,1.193710e-06,2.100030e-06
311.000,3.994460e-06,2.418010e-06
311.200,1.000000e-10,2.848790e-06
311.400,2.850460e-06,3.308400e-06
311.600,1.000000e-10,3.704380e-06
311.800,3.580440e-06,3.954800e-06
312.000,1.031073e-05,4.007240e-06
312.200,6.212000e-07,3.854970e-06
312.400,3.505310e-06,3.538410e-06
312.600,1.000000e-10,3.135570e-06
312.800,1.000000e-10,2.750210e-06
313.000,1.613720e-06,2.482630e-06
313.200,1.000000e-10,2.401950e-06
313.400,1.722430e-06,2.531130e-06
313.600,1.000000e-10,2.838520e-06
313.800,1.000000e-10,3.246970e-06
314.000,1.000000e-10,3.657170e-06
314.200,5.423330e-06,3.972400e-06
314.400,1.000000e-10,4.125290e-06
314.600,5.081270e-06,4.091000e-06
314.800,2.592770e-06,3.886120e-06
315.000,2.105260e-06,3.556970e-06
315.200,4.281410e-06,3.164580e-06
315.400,2.668000e-08,2.775940e-06
315.600,1.000000e-10,2.451970e-06
315.800,5.741860e-06,2.254990e-06
316.000,1.984450e-06,2.241250e-06
316.200,5.718800e-07,2.451130e-06
316.400,5.640400e-07,2.893240e-06
316.600,7.365100e-07,3.530880e-06
316.800,5.953850e-06,4.279750e-06
317.000,9.393280e-06,5.022770e-06
317.200,1.000000e-10,5.638560e-06
317.400,1.000000e-10,6.033300e-06
317.600,5.025980e-06,6.163580e-06
317.800,4.353170e-06,6.039180e-06
318.000,5.855820e-06,5.709150e-06
318.200,1.000000e-10,5.237840e-06
318.400,1.000000e-10,4.684710e-06
318.600,1.000000e-10,4.093270e-06
318.800,1.000000e-10,3.491300e-06
319.000,1.000000e-10,2.904160e-06
319.200,1.000000e-10,2.364010e-06
319.400,1.385340e-06,1.909480e-06
319.600,1.000000e-10,1.582750e-06
319.800,1.000000e-10,1.415050e-06
320.000,9.556700e-07,1.412050e-06
320.200,4.686700e-07,1.547230e-06
320.400,1.000000e-10,1.762940e-06
320.600,3.427300e-06,1.981770e-06
320.800,1.000000e-10,2.129060e-06
321.000,2.558360e-06,2.156900e-06
321.200,3.536430e-06,2.063620e-06
321.400,1.261520e-06,1.897840e-06
321.600,1.000000e-10,1.746320e-06
321.800,7.965900e-07,1.706360e-06
322.000,1.368730e-06,1.853080e-06
322.200,3.603500e-07,2.210420e-06
322.400,1.000000e-10,2.740430e-06
322.600,1.000000e-10,3.354400e-06
322.800,6.508330e-06,3.941130e-06
323.000,6.231460e-06,4.401920e-06
323.200,1.000000e-10,4.677360e-06
323.400,1.000000e-10,4.759680e-06
