ILDIALCT,ilab_v1,FITS/CSV file dialect
673.000,1.000000e-10,1.342660e-06
674.000,1.253240e-06,1.276530e-06
675.000,2.032440e-06,1.225930e-06
676.000,8.352400e-07,1.190200e-06
677.000,1.100410e-06,1.161490e-06
678.000,1.139490e-06,1.128570e-06
679.000,1.000000e-10,1.081870e-06
680.000,1.027610e-06,1.019120e-06
681.000,1.651960e-06,9.464400e-07
682.000,6.357600e-07,8.766900e-07
683.000,2.380600e-07,8.257500e-07
684.000,3.486900e-07,8.049800e-07
685.000,6.493700e-07,8.182500e-07
686.000,1.359720e-06,8.586700e-07
687.000,1.000000e-10,9.122400e-07
688.000,9.959000e-07,9.620800e-07
689.000,1.000000e-10,9.933200e-07
690.000,1.000000e-10,9.995500e-07
691.000,1.000000e-10,9.837800e-07
692.000,1.164420e-06,9.571000e-07
693.000,2.617100e-07,9.328800e-07
694.000,1.000000e-10,9.242600e-07
695.000,1.000000e-10,9.396000e-07
696.000,1.458790e-06,9.812200e-07
697.000,1.000000e-10,1.045400e-06
698.000,6.790100e-07,1.124960e-06
699.000,1.743170e-06,1.208840e-06
700.000,6.818500e-07,1.283870e-06
701.000,1.000000e-10,1.338870e-06
702.000,2.120890e-06,1.365830e-06
703.000,1.642470e-06,1.362670e-06
704.000,1.000000e-10,1.335030e-06
705.000,7.514200e-07,1.296450e-06
706.000,1.519440e-06,1.265510e-06
707.000,7.784100e-07,1.260310e-06
708.000,1.368350e-06,1.290880e-06
709.000,1.000000e-10,1.355470e-06
710.000,1.459790e-06,1.437070e-06
711.000,5.267600e-07,1.507870e-06
712.000,2.134680e-06,1.537720e-06
713.000,3.456780e-06,1.504340e-06
714.000,9.227600e-07,1.403120e-06
715.000,1.000000e-10,1.250450e-06
716.000,9.575300e-07,1.080770e-06
717.000,1.000000e-10,9.349400e-07
718.000,8.243000e-08,8.501700e-07
719.000,2.552500e-07,8.488300e-07
720.000,1.002560e-06,9.338400e-07
721.000,2.660860e-06,1.091380e-06
722.000,1.090840e-06,1.297330e-06
723.000,1.467450e-06,1.524590e-06
724.000,1.000000e-10,1.747350e-06
725.000,1.669910e-06,1.943610e-06
726.000,2.705140e-06,2.093340e-06
727.000,2.109670e-06,2.178120e-06
728.000,1.000000e-10,2.185270e-06
729.000,1.000000e-10,2.112030e-06
730.000,2.818240e-06,1.969070e-06
731.000,9.310900e-07,1.778830e-06
732.000,1.000000e-10,1.573510e-06
733.000,1.000000e-10,1.386260e-06
734.000,8.689000e-07,1.242510e-06
735.000,1.309360e-06,1.151940e-06
736.000,1.828470e-06,1.109190e-06
737.000,1.000000e-10,1.097020e-06
738.000,6.786000e-08,1.094220e-06
739.000,1.000000e-10,1.081850e-06
740.000,2.833170e-06,1.050250e-06
741.000,1.548200e-07,1.000180e-06
742.000,2.782500e-07,9.415400e-07
743.000,5.325100e-07,8.880600e-07
744.000,1.368290e-06,8.517800e-07
745.000,9.434600e-07,8.394000e-07
746.000,6.225000e-07,8.505400e-07
